100 Software_engineering Agarwal,Udit 2017
101 Beginning_Android_Programming_with_Android_studio Dimarzio,J.F. 2017
102 Software_Testing_and_Quality_Assurance_with_CD Chodra,Rajiv 2016
103 Computer_oriented_numerical_analysis Pandey,Himanshu 2014
104 Computer_organization_:_principles,_analysis_and_design Jin,Lan 2014
105 C++_How_to_Program_5th_edition Dietel-Dietel 2014
106 Information_Security_ManagementHandbook O'Hanley-Tiller 2014
107 Web_Design_with_HTML_&_CS%_Digital_Classroom Osborn,Jeremy_et.al 2011
108 Introduction_to_Programming_with_C++ Zak,Diane 2011
109 An_introduction_to_programming_with_C++_5th_edition Zak,Diane 2009
110 Introduction_to_Information_System Rainer,_Tuban 2009
111 Programming_in_visual_basic_2008 Bradley-Millspangh 2009
112 Introduction_to_Information_Systems Stair-Reynolds 2009
113 Digital_principles_and_logic_design Saha-Manna 2008
114 AVA_how_to_program:_Early_objects_8th_edition Dieter,Paul 2008
