Brown-LeMay,Chemistry: The Central Science,2014
"Silberberg,Martin",Chemistry,2013
"Smith, Janice","General, Organic and Biological Chemistry",2010
"Silberberg,Martin",Principles of general Chemistry,2010
"Skoog,Douglas",Fundamentals of analytical chemistry 8th edition,2010
"Smith, Janice G.","General,Organic and Biological Chemistry",2010
"Hein, Morris, et al","Introduction to General, Organic, and Biochemistry 9th Edition",2009
Hein-Peisin-Ritchoy,Introduction to general organic and biochemistry in the laboratory 8th edition vol.2,2005
"Serway, 
Raymond A.,et.al
",Physics Fundamentals 1,2012
"Serway, 
Raymond A.,et.al
",Physics Fundamentals 2,2012
"Cutnell, John D.,et.al",Introduction to Physics,2010
"Malenab, Ryan G.",Basic Physics: Concepts with Experiments ,2008
Tillery,Physical Science An Introduction,2008
"Sedgewick, Robert",Algorithm in C 3RD edition,1998
"Tillery, Bill W.",Physical science,2005
